Parameter | Placebo | (%) | Total | (%) | Xanomeline High Dose | (%) | Xanomeline Low Dose | (%)
HYPERBILIRUBINAEMIA | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
HYPERSENSITIVITY | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
BRONCHITIS | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
CELLULITIS | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
CERVICITIS | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
CYSTITIS | 1 | (1.2) | 2 | (0.8) | 1 | (1.2) | 0 | (0.0)
EAR INFECTION | 2 | (2.3) | 2 | (0.8) | 0 | (0.0) | 0 | (0.0)
GASTROENTERITIS VIRAL | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
HORDEOLUM | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
INFLUENZA | 1 | (1.2) | 3 | (1.2) | 1 | (1.2) | 1 | (1.2)
LOCALISED INFECTION | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
LOWER RESPIRATORY TRACT INFECTION | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
NASOPHARYNGITIS | 2 | (2.3) | 12 | (4.7) | 6 | (7.1) | 4 | (4.8)
PNEUMONIA | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
RHINITIS | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
UPPER RESPIRATORY TRACT INFECTION | 6 | (7.0) | 10 | (3.9) | 3 | (3.6) | 1 | (1.2)
URINARY TRACT INFECTION | 2 | (2.3) | 3 | (1.2) | 1 | (1.2) | 0 | (0.0)
VAGINAL MYCOSIS | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
VIRAL INFECTION | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
CONTUSION | 1 | (1.2) | 4 | (1.6) | 2 | (2.4) | 1 | (1.2)
EXCORIATION | 2 | (2.3) | 4 | (1.6) | 1 | (1.2) | 1 | (1.2)
FACIAL BONES FRACTURE | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
FALL | 1 | (1.2) | 4 | (1.6) | 1 | (1.2) | 2 | (2.4)
HIP FRACTURE | 1 | (1.2) | 3 | (1.2) | 2 | (2.4) | 0 | (0.0)
JOINT DISLOCATION | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
SKIN LACERATION | 1 | (1.2) | 3 | (1.2) | 0 | (0.0) | 2 | (2.4)
WOUND | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
BIOPSY | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
BIOPSY PROSTATE | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
BLOOD ALKALINE PHOSPHATASE INCREASED | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
BLOOD CHOLESTEROL INCREASED | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
BLOOD CREATINE PHOSPHOKINASE INCREASED | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
BLOOD GLUCOSE INCREASED | 0 | (0.0) | 2 | (0.8) | 1 | (1.2) | 1 | (1.2)
BLOOD URINE PRESENT | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
BODY TEMPERATURE INCREASED | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
CYSTOSCOPY | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
ELECTROCARDIOGRAM ST SEGMENT DEPRESSION | 4 | (4.7) | 5 | (2.0) | 0 | (0.0) | 1 | (1.2)
ELECTROCARDIOGRAM T WAVE AMPLITUDE DECREASED | 1 | (1.2) | 2 | (0.8) | 0 | (0.0) | 1 | (1.2)
ELECTROCARDIOGRAM T WAVE INVERSION | 2 | (2.3) | 4 | (1.6) | 1 | (1.2) | 1 | (1.2)
HEART RATE INCREASED | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
HEART RATE IRREGULAR | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
NASAL MUCOSA BIOPSY | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
WEIGHT DECREASED | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
DECREASED APPETITE | 1 | (1.2) | 2 | (0.8) | 1 | (1.2) | 0 | (0.0)
DEHYDRATION | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
DIABETES MELLITUS | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
FOOD CRAVING | 1 | (1.2) | 2 | (0.8) | 0 | (0.0) | 1 | (1.2)
HYPONATRAEMIA | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
INCREASED APPETITE | 1 | (1.2) | 2 | (0.8) | 1 | (1.2) | 0 | (0.0)
ARTHRALGIA | 1 | (1.2) | 4 | (1.6) | 1 | (1.2) | 2 | (2.4)
ARTHRITIS | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
BACK PAIN | 1 | (1.2) | 5 | (2.0) | 3 | (3.6) | 1 | (1.2)
FLANK PAIN | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
MUSCLE SPASMS | 0 | (0.0) | 2 | (0.8) | 1 | (1.2) | 1 | (1.2)
MUSCULAR WEAKNESS | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
MYALGIA | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
PAIN IN EXTREMITY | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
SHOULDER PAIN | 1 | (1.2) | 3 | (1.2) | 0 | (0.0) | 2 | (2.4)
COLON CANCER | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
MALIGNANT FIBROUS HISTIOCYTOMA | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
PROSTATE CANCER | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
AMNESIA | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
BALANCE DISORDER | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
BURNING SENSATION | 0 | (0.0) | 2 | (0.8) | 2 | (2.4) | 0 | (0.0)
COGNITIVE DISORDER | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
COMPLEX PARTIAL SEIZURES | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
COORDINATION ABNORMAL | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
DIZZINESS | 2 | (2.3) | 21 | (8.3) | 11 | (13.1) | 8 | (9.5)
HEADACHE | 3 | (3.5) | 11 | (4.3) | 5 | (6.0) | 3 | (3.6)
HEMIANOPIA HOMONYMOUS | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
HYPERSOMNIA | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
LETHARGY | 0 | (0.0) | 2 | (0.8) | 1 | (1.2) | 1 | (1.2)
PARAESTHESIA | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
PARAESTHESIA ORAL | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
PARKINSON'S DISEASE | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
PAROSMIA | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
PARTIAL SEIZURES WITH SECONDARY GENERALISATION | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
PSYCHOMOTOR HYPERACTIVITY | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
SOMNOLENCE | 2 | (2.3) | 6 | (2.4) | 1 | (1.2) | 3 | (3.6)
STUPOR | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
SYNCOPE | 0 | (0.0) | 7 | (2.8) | 3 | (3.6) | 4 | (4.8)
SYNCOPE VASOVAGAL | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
TRANSIENT ISCHAEMIC ATTACK | 0 | (0.0) | 3 | (1.2) | 1 | (1.2) | 2 | (2.4)
AGITATION | 2 | (2.3) | 5 | (2.0) | 1 | (1.2) | 2 | (2.4)
ANXIETY | 0 | (0.0) | 3 | (1.2) | 0 | (0.0) | 3 | (3.6)
COMPLETED SUICIDE | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
CONFUSIONAL STATE | 2 | (2.3) | 6 | (2.4) | 1 | (1.2) | 3 | (3.6)
DELIRIUM | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
DELUSION | 1 | (1.2) | 2 | (0.8) | 1 | (1.2) | 0 | (0.0)
DEPRESSED MOOD | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
DISORIENTATION | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
HALLUCINATION | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
HALLUCINATION, VISUAL | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
INSOMNIA | 2 | (2.3) | 4 | (1.6) | 2 | (2.4) | 0 | (0.0)
IRRITABILITY | 1 | (1.2) | 2 | (0.8) | 0 | (0.0) | 1 | (1.2)
LIBIDO DECREASED | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
LISTLESS | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
NIGHTMARE | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
RESTLESSNESS | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
